aiport_id,airport_name,origin_state
143,UNALASKA ARPT,Alaska
144,FULTON COUNTY ARPT - BROWN FIELD,Georgia
145,GOLDEN TRIANGLE REGIONAL,Mississippi
146,GULFPORT BILOXI REGIONAL,Mississippi
147,MINETA SAN JOSE INTL,California
148,HUNTSVILLE INTL,Alabama
149,JAMESTOWN REGIONAL,North Dakota
150,AIRBORNE AIRPARK,Ohio
151,EVANSVILLE REGIONAL,Indiana
152,SPOKANE INTERNATIONAL,Washington
153,SMITH REYOLDS ARPT,North Carolina
154,LITTLE RIVER ARPT,California
155,CONCORD REGIONAL ARPT,North Carolina
156,AMARILLO INTL,Texas
157,COBB COUNTY ARPT-MC COLLUM FIELD,Georgia
158,DANBURY MUNICIPAL ARPT,Connecticut
159,RALPH WIEN MEMORIAL ARPT,Alaska
160,COLUMBUS MUNICIPAL ARPT (IN),Indiana
161,VAN NUYS ARPT,California
162,AUSTIN-BERGSTROM INTL,Texas
163,OAKLAND/TROY ARPT,Michigan
164,BURLINGTON INTL,Vermont
165,KODIAK AIRPORT,Alaska
166,NAPA COUNTY ARPT,California
167,EXECUTIVE ARPT,Florida
168,WHITEMAN AIRPORT,California
169,SCHOLES INTL ARPT AT GALVESTON,Texas
170,ADAMS FIELD ARPT,Arkansas
171,MONTGOMERY FIELD ARPT,California
172,PHOENIX DEER VALLEY ARPT,Arizona
173,SKYLARK FIELD,Texas
174,GREATER BINGHAMTON ARPT,New York
175,KLEBERG COUNTY ARPT,Texas
176,JOPLIN REGIONAL,Missouri
177,JONESBORO MUNICIPAL ARPT,Arkansas
178,HONOLULU INTL ARPT,Hawaii
179,EGLIN AFB/NW FLORIDA REGIONAL ARPT,Florida
180,SIOUX GATEWAY ARPT,Iowa
181,SAN ANTONIO INTL,Texas
182,VALLEY INTL,Texas
183,JACKSON HOLE,Wyoming
184,JOHN WAYNE AIRPORT,California
185,DILLINGHAM AIRFIELD,Hawaii
186,SHREVEPORT REGIONAL,Louisiana
187,MCMINN COUNTY ARPT,Tennessee
188,CUYAHOGA COUNTY ARPT,Ohio
189,MANCHESTER AIRPORT,New Hampshire
190,PORTLAND INTL JETPORT (ME),Maine
191,JEFFERSON CITY MEMORIAL ARPT,Missouri
192,NW ARKANSAS REGIONAL,Arkansas
193,WICHITA MID-CONTINENT ARPT,Kansas
194,TYLER POUNDS FIELD,Texas
195,ADDISON,Texas
196,OWENSBORO-DAVIESS,Kentucky
197,ATLANTIC CITY INTL,New Jersey
198,LONG ISLAND MAC ARTHUR,New York
199,ELLINGTON FIELD ARPT,Texas
200,LANCASTER ARPT (PA),Pennsylvania
201,AQUASCALIENTES,
202,NORTHEAST PHILADELPHIA ARPT,Pennsylvania
203,LINCOLN MUNICIPAL,Nebraska
204,SAN CARLOS ARPT,California
205,IGOR I SIKORSKY MEMORIAL,Connecticut
206,MORGANTOWN MUNICIPAL ARPT,West Virginia
207,SITKA ROCKY GUTIERREZ ARPT,Alaska
208,GAINESVILLE REG ARPT,Florida
209,TRI-CITIES REGIONAL TN/VA ARPT,Tennessee
210,ALLEGHENY COUNTY ARPT,Pennsylvania
211,JACKSONVILLE INTL,Florida
212,PIERRE REGIONAL ARPT,South Dakota
213,NEWPORT NEWS/WILLIAMSBURG INTL,Virginia
214,MANLEY HOT SPRINGS ARPT,Alaska
215,RICHMOND INTL,Virginia
216,KISSIMMEE GATEWAY ARPT,Florida
217,VERO BEACH MUNICIPAL,Florida
218,WAYNE MUNICIPAL ARPT,Nebraska
219,ROCK SPRINGS-SWEETWATER CO,Wyoming
220,LA CROSSE MUNICIPAL AIRPORT,Wisconsin
221,RICHARD LLOYD JONES JR ARPT,Oklahoma
222,HEWANORRA ST LUCIA,
223,BUTLER COUNTY REGIONAL,Ohio
224,SPRINGFIELD-BRANSON NATIONAL,Missouri
225,ABRAHAM LINCOLN CAPITAL ARPT,Illinois
226,BUCHOLZ AAF MARSHALL,Prince Edward Island
227,CENTRAL NEBRASKA REGIONAL,Nebraska
228,TAMPA INTL,Florida
229,WORCESTER REGIONAL,Massachusetts
230,MEMORIAL FIELD,Arkansas
231,KAHULUI ARPT,Hawaii
232,SANTIAGO INTL,
233,OAKLAND COUNTY INTL,Michigan
234,JOHN C TUNE ARPT,Tennessee
235,FORT LAUDERDALE EXECUTIVE ARPT,Florida
236,L F WADE INTL ARPT,
237,MELBOURNE INTL,Florida
238,BISMARCK MUNICIPAL ARPT,North Dakota
239,MINOT INTL AIRPORT,North Dakota
240,SLIDELL AIRPORT,Louisiana
241,WALLBLAKE,
242,GREAT FALLS INTL,Montana
243,BRAINERD-CROW WING,Minnesota
244,BLUE GRASS ARPT,Kentucky
245,ROGUE VALLEY INTL,Oregon
246,STUTTGART MUNICIPAL ARPT,Arkansas
247,LAWTON-FORT SILL REGIONAL ARPT,Oklahoma
248,YAMPA VALLEY,Colorado
249,COLONEL JAMES JABARA ARPT,Kansas
250,MIDLAND INTL,Texas
251,MALCOLM MCKINNON ARPT,Georgia
252,MILLARD ARPT,Nebraska
253,ROCK COUNTY,Wisconsin
254,MARTIN STATE ARPT,Maryland
255,BUCHANAN FLD,California
